ident,type,name,iata_code
00AA,small_airport,Aero B Ranch Airport,
00AK,small_airport,Lowell Field,
00AL,small_airport,Epps Airpark,
00AN,small_airport,Katmai Lodge Airport,
00AS,small_airport,Fulton Airport,
00AZ,small_airport,Cordes Airport,
00CA,small_airport,Goldstone (GTS) Airport,
00CL,small_airport,Williams Ag Airport,
00FA,small_airport,Grass Patch Airport,
00FL,small_airport,River Oak Airport,
00GA,small_airport,Lt World Airport,
00ID,small_airport,Delta Shores Airport,
00IG,small_airport,Goltl Airport,
00IL,small_airport,Hammer Airport,
00IS,small_airport,Hayenga's Cant Find Farms Airport,
00KS,small_airport,Hayden Farm Airport,
00KY,small_airport,Robbins Roost Airport,
00LS,small_airport,Lejeune Airport,
00MD,small_airport,Slater Field,
00MN,small_airport,Battle Lake Municipal Airport,
00MO,small_airport,Cooper Flying Service Airport,
00N,small_airport,Bucks Airport,
00NC,small_airport,North Raleigh Airport,
00NY,small_airport,Weiss Airfield,
00OK,small_airport,Gull Bay Landing Airport,
00PN,small_airport,Ferrell Field,
00S,small_airport,McKenzie Bridge State Airport,
00SC,small_airport,Flying O Airport,
00SD,small_airport,Homan Field,
00TN,small_airport,Ragsdale Road Airport,
00TS,small_airport,Alpine Range Airport,
00TT,small_airport,Nowhere Airport,
00VA,small_airport,Vaughan Airport,
00VI,small_airport,Groundhog Mountain Airport,
00W,small_airport,Lower Granite State Airport,
00WA,small_airport,Howell Airport,
00WI,small_airport,Northern Lite Airport,
00WN,small_airport,Hawks Run Airport,
00WV,small_airport,Lazy J. Aerodrome,
01A,small_airport,Purkeypile Airport,
01AL,small_airport,Ware Island Airport,
01AN,small_airport,McHone Heights Airport,
01CL,small_airport,Swansboro Country Airport,
01FA,small_airport,Rybolt Ranch Airport,
01FL,small_airport,Cedar Knoll Flying Ranch Airport,
01GE,small_airport,The Farm Airport,
01IA,small_airport,Stender Airport,
01ID,small_airport,Lava Hot Springs Airport,
01II,small_airport,Myers Field,
01IS,small_airport,William E. Koenig Airport,
01J,small_airport,Hilliard Airpark,
01K,small_airport,Caldwell Municipal Airport,
01KS,small_airport,Flying N Ranch Airport,
01LA,small_airport,Barham Airport,
01LL,small_airport,Schumaier Restricted Landing Area,
01LS,small_airport,Country Breeze Airport,
01MT,small_airport,Crystal Lakes Resort Airport,
01NC,small_airport,Topsail Airpark,
01NH,small_airport,Moore Airfield,
01NM,small_airport,Champion Ranch Airport,
01NV,small_airport,Lantana Ranch Airport,
01OL,small_airport,Spring Creek Ranch East Airport,
01PN,small_airport,Bierly(Personal Use) Airport,
01PS,small_airport,Nort's Resort Airport,
01SC,small_airport,York Airport,
01TE,small_airport,Smith Field,
01TN,small_airport,Colonial Air Park,
01U,small_airport,Duckwater Airport,
01UT,small_airport,La Sal Junction Airport,
01VA,small_airport,Pickles Airport,
01WI,small_airport,Prehn Cranberry Company Airport,
01WY,small_airport,Keyhole Airport,
02AA,small_airport,Barefoot Airport,
02AK,small_airport,Rustic Wilderness Airport,
02AL,small_airport,Bass Field,
02CD,small_airport,Shannon Field,
02CL,small_airport,Conover Air Lodge Airport,
02CO,small_airport,Mc Cullough Airport,
02FA,small_airport,Osborn Airfield,
02FD,small_airport,Triple R Ranch Airport,
02GA,small_airport,Doug Bolton Field,
02GE,small_airport,Etowah Fields Airport,
02ID,small_airport,Morgan Ranch Airport,
02II,small_airport,King Ultralightport,
02IN,small_airport,Diamond P. Field,
02KS,small_airport,Jmj Landing Airport,
02MD,small_airport,Garner Field,
02ME,small_airport,Nadeau's Airfield,
02MI,small_airport,Fairplains Airpark,
02MO,small_airport,Troy Airpark,
02MS,small_airport,Watts Field,
02NE,small_airport,Benes Service Airport,
02NV,small_airport,Paiute Meadows Airport,
02OH,small_airport,Zimmerman Airport,
02OI,small_airport,Murtha Airport,
02OR,small_airport,Rowena Dell Airport,
02PR,small_airport,Cuylers Airport,
02SC,small_airport,Harpers Airport,
02T,small_airport,Wise River Airport,
02TN,small_airport,Ellis Field,
02UT,small_airport,Lucin Airport,
02VA,small_airport,The Greenhouse Airport,
02WA,small_airport,Cawleys South Prairie Airport,
02WI,small_airport,Beer Airport,
02WN,small_airport,Fowler Field,
02XA,small_airport,JLS Farms Airport,
03AZ,small_airport,Thompson International Aviation Airport,
03CO,small_airport,Kugel-Strong Airport,
03FA,small_airport,Lake Persimmon Airstrip,
03GA,small_airport,HIA Airport,
03ID,small_airport,Flying Y Ranch Airport,
03II,small_airport,Davis Field Ultralightport,
03IL,small_airport,Wix Airport,
03IN,small_airport,Heinzman Airport,
03KY,small_airport,Flying H Farms Airport,
03MA,small_airport,Hadley Airport,
03ME,small_airport,Maple Ridge Airport,
03MN,small_airport,Nauerth Land Ranch Airport,
03MT,small_airport,Cascade Field,
03MU,small_airport,McDonnell Airport,
03N,small_airport,Utirik Airport,UTK
03NC,small_airport,Pilots Ridge Airport,
03ND,small_airport,Olafson Brothers Airport,
03NE,small_airport,Hyde Ranch Airport,
03NV,small_airport,Llama Ranch Airport,
03NY,small_airport,Talmage Field,
03OH,small_airport,Gibbs Field,
03OK,small_airport,Sahoma Lake Airport,
03OL,small_airport,Bluebird Airport,
03OR,small_airport,Powwatka Ridge Airport,
03PR,small_airport,Sun View Field Airport,
03S,small_airport,Sandy River Airport,
03TE,small_airport,Barronena Ranch Airport,
03TT,small_airport,Brazos Polo Airport,
03UT,small_airport,AZ Minerals Corporation Airport,
03WA,small_airport,Spangle Field,
03WN,small_airport,Aerostone Ranch Airport,
03XS,small_airport,Creekside Airport,
04AA,small_airport,Flying W Ranch Airport,
