airport_ident,length_ft,width_ft,closed,le_ident,he_ident
00A,80.0,80.0,0,H1,
00AK,2500.0,70.0,0,N,S
00AL,2300.0,200.0,0,01,19
00AN,4517.0,60.0,0,3,21
00AR,40.0,40.0,0,H1,H1
00AS,1450.0,60.0,0,1,19
00AZ,1700.0,60.0,0,15,33
00CA,6000.0,80.0,0,04,22
00CO,3900.0,20.0,0,16,34
00FA,3200.0,100.0,0,08,26
00FD,74.0,74.0,0,H1,
00FL,4090.0,100.0,0,12,30
00GA,2600.0,80.0,0,09,27
00GE,125.0,95.0,0,H1,
00HI,1155.0,45.0,0,H1,
00ID,3300.0,40.0,0,08,26
00ID,2700.0,40.0,0,11,29
00IL,2500.0,75.0,0,18,36
00IN,40.0,40.0,0,H1,
00IS,1600.0,70.0,0,09,24
00KS,2600.0,85.0,0,17,35
00KY,2100.0,100.0,0,01,19
00LA,40.0,40.0,0,H1,
00LL,25.0,25.0,0,H1,
00LS,2600.0,100.0,0,18,36
00MD,1700.0,75.0,0,14,32
00MI,100.0,100.0,0,H1,
00MN,2949.0,200.0,0,06,24
00MO,2400.0,25.0,0,08,26
00N,1900.0,150.0,0,18,36
00NC,2650.0,36.0,0,05,23
00NJ,50.0,50.0,0,H1,
00NR,50.0,50.0,0,H1,
00NY,2350.0,80.0,0,03,21
00OH,2695.0,90.0,0,08,26
00OI,42.0,42.0,0,H1,
00OK,2200.0,60.0,0,17,35
00PA,80.0,80.0,0,H1,
00PN,500.0,75.0,0,12,30
00PS,3100.0,100.0,0,08,26
00S,2600.0,90.0,0,06,24
00SC,2900.0,100.0,0,08,26
00SD,2400.0,50.0,0,18,36
00TA,85.0,85.0,0,H1,
00TE,48.0,48.0,0,H1,
00TN,1800.0,150.0,0,09,27
00TS,1200.0,45.0,0,01,19
00TT,2429.0,80.0,0,18,36
00TX,50.0,50.0,0,H1,
00VA,1300.0,100.0,0,01,19
00VI,1500.0,50.0,0,09,27
00W,3400.0,50.0,0,14,32
00WA,1105.0,70.0,0,08,26
00WI,1000.0,60.0,0,09,27
00WN,1440.0,50.0,0,05,23
00WV,1800.0,100.0,0,05,23
00XS,1475.0,75.0,0,17,35
01A,1175.0,40.0,0,08,26
01AK,40.0,40.0,0,H1,
01AL,2500.0,160.0,0,N,S
01AR,55.0,55.0,0,H1,
01AZ,210.0,150.0,0,H1,
01C,2517.0,120.0,0,09,27
01CA,20.0,20.0,0,H1,
01CL,3100.0,50.0,0,09,27
01CN,60.0,60.0,0,H1,
01CO,125.0,40.0,0,H1,
01CT,70.0,70.0,0,H1,
01FA,2000.0,100.0,0,10,28
01FA,1500.0,100.0,0,18,36
01FD,110.0,110.0,0,H1,
01FL,3000.0,50.0,0,18,36
01GA,65.0,65.0,0,H1,
01GE,2560.0,75.0,0,10,28
01IA,2575.0,50.0,0,17,35
01ID,2894.0,100.0,0,14,32
01IL,416.0,216.0,0,H1,
01IN,45.0,45.0,0,H1,
01IS,1300.0,100.0,0,09,27
01J,3365.0,125.0,0,18,36
01K,2460.0,110.0,0,17,35
01KS,2400.0,100.0,0,18,36
01KY,40.0,40.0,0,H1,
01LA,2000.0,60.0,0,09,27
01LL,1600.0,70.0,0,02,20
01LS,1800.0,150.0,0,09,27
01MA,32.0,32.0,0,H1,
01MD,3500.0,100.0,0,16,34
01ME,5000.0,500.0,0,02,20
01ME,5000.0,500.0,0,15,33
01MI,50.0,50.0,0,H1,
01MN,10000.0,600.0,0,E,W
01MN,10000.0,600.0,0,NW,SE
01MO,37.0,37.0,0,H1,
01MT,5000.0,70.0,0,13,31
01MU,54.0,54.0,0,H1,
01NC,3200.0,75.0,0,03,21
01NC,2000.0,75.0,0,18,36
01NE,2750.0,50.0,0,10,28
01NH,600.0,50.0,0,17,35
01NJ,125.0,80.0,0,H1,
01NM,2700.0,70.0,0,02,20
01NM,2000.0,70.0,0,9,27
01NR,50.0,50.0,0,H1,
01NV,2000.0,60.0,0,18,36
01NY,100.0,75.0,0,H1,
01OH,100.0,100.0,0,H1,
01OI,30.0,30.0,0,H1,
01OK,2640.0,25.0,0,17,35
01OL,1600.0,75.0,0,5,23
01OR,4800.0,60.0,0,07,25
01PA,60.0,60.0,0,H1,
01PN,1700.0,100.0,0,06,24
01PS,1200.0,120.0,0,03,21
01SC,2580.0,118.0,0,18,36
01TA,30.0,30.0,0,H1,
01TE,2433.0,55.0,0,04,22
01TN,2700.0,100.0,0,18,36
01TX,500.0,60.0,0,09,27
01TX,700.0,60.0,0,18,36
01U,2700.0,75.0,0,03,21
01U,3400.0,80.0,0,15,33
01UT,3200.0,40.0,0,E,W
01VA,1500.0,60.0,0,03,21
01WA,36.0,36.0,0,H1,
01WI,2300.0,120.0,0,01,19
01WN,40.0,40.0,0,H1,
01WT,28.0,28.0,0,H1,
01WY,4360.0,75.0,0,12,30
01WY,2600.0,65.0,0,16,34
01XA,50.0,50.0,0,H1,H1
01XS,50.0,50.0,0,H1,
02AK,2200.0,45.0,0,15,33
02AL,2000.0,150.0,0,18,36
02AR,4400.0,45.0,0,07,25
02AZ,4500.0,80.0,0,17,35
02CA,55.0,55.0,0,H1,
02CD,2500.0,100.0,0,15,33
02CL,3000.0,60.0,0,16,34
02CO,2670.0,50.0,0,17,35
02CT,50.0,50.0,0,H1,
